firm_name,group,product_category,complaints_opened,complaints_closed,period_label,period_order,period_start,period_end,year,half,pre_post_duty,upheld_pct,pct_closed_3days,firm_type,record_id,complaints_change_abs,complaints_change_pct,upheld_change_ppts,high_uphold_flag,upheld_band
Advisory Insurance Brokers Limited,NO GROUP,Insurance & Pure Protection,647,682.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,70.7,23.9,Other Financial Services,99,56.0,9.5,3.5,1,Very High (70%+)
Advisory Insurance Brokers Limited,,Insurance & Pure Protection,1021,1003.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,61.1,37.4,Other Financial Services,100,374.0,57.8,-9.6,1,High (50-70%)
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,Insurance & Pure Protection,809,807.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,64.6,29.4,Other Financial Services,101,-212.0,-20.8,3.5,1,High (50-70%)
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,Insurance & Pure Protection,758,744.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,61.0,31.3,Other Financial Services,102,-51.0,-6.3,-3.6,1,High (50-70%)
Affinity Insurance Solutions Limited,NO GROUP,Insurance & Pure Protection,1545,1544.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,54.4,78.0,Other Financial Services,103,,,,1,High (50-70%)
Affinity Insurance Solutions Limited,NO GROUP,Insurance & Pure Protection,1625,1628.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,44.7,83.3,Other Financial Services,104,80.0,5.2,-9.7,0,Moderate (35-50%)
Affinity Insurance Solutions Limited,,Insurance & Pure Protection,1504,1490.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,33.6,70.2,Other Financial Services,105,-121.0,-7.4,-11.1,0,Lower (<35%)
Affinity Insurance Solutions Limited,NO GROUP,Insurance & Pure Protection,1789,1777.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,21.6,49.3,Other Financial Services,106,285.0,18.9,-12.0,0,Lower (<35%)
Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,Insurance & Pure Protection,1121,,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,22.9,76.7,Other Financial Services,107,-668.0,-37.3,1.3,0,Lower (<35%)
Ageas Insurance Limited,AGEAS SA-NV,Insurance & Pure Protection,5127,5026.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,49.1,31.9,General Insurance,108,,,,0,Moderate (35-50%)
Ageas Insurance Limited,AGEAS SA-NV,Insurance & Pure Protection,5177,5064.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,46.6,33.4,General Insurance,109,50.0,1.0,-2.5,0,Moderate (35-50%)
Ageas Insurance Limited,,Insurance & Pure Protection,5818,5883.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,53.8,22.0,General Insurance,110,641.0,12.4,7.2,1,High (50-70%)
Ageas Insurance Limited,AGEAS SA-NV,Insurance & Pure Protection,5980,5514.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,43.9,28.1,General Insurance,111,162.0,2.8,-9.9,0,Moderate (35-50%)
Ageas Insurance Limited,AGEAS SA-NV,Insurance & Pure Protection,6073,6297.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,46.6,26.6,General Insurance,112,93.0,1.6,2.7,0,Moderate (35-50%)
Ageas Retail Limited,AGEAS SA-NV,Insurance & Pure Protection,1666,1706.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,39.2,43.5,General Insurance,113,,,,0,Moderate (35-50%)
Ageas Retail Limited,AGEAS SA-NV,Insurance & Pure Protection,1588,1771.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,43.3,42.7,General Insurance,114,-78.0,-4.7,4.1,0,Moderate (35-50%)
